iter	Passed	Remaining
0	56	28182
1	56	14151
2	57	9469
3	57	7134
4	57	5738
5	58	4805
6	58	4137
7	59	3633
8	59	3244
9	59	2934
10	60	2676
11	60	2460
12	60	2281
13	61	2126
14	61	1992
15	61	1872
16	62	1767
17	62	1674
18	63	1613
19	64	1537
20	64	1468
21	64	1405
22	65	1348
23	65	1296
24	65	1249
25	66	1203
26	66	1162
27	66	1125
28	67	1089
29	67	1056
30	67	1025
31	68	996
32	68	969
33	68	943
34	69	918
35	69	896
36	69	873
37	70	853
38	71	841
39	71	822
40	71	805
41	72	788
42	72	772
43	72	756
44	73	740
45	73	726
46	73	712
47	74	699
48	74	687
49	75	676
50	75	664
51	75	652
52	76	641
53	76	630
54	76	621
55	77	611
56	77	602
57	77	593
58	78	584
59	78	576
60	78	567
61	79	560
62	79	552
63	79	544
64	80	537
65	80	530
66	81	527
67	81	520
68	82	514
69	82	508
70	83	501
71	83	495
72	83	490
73	84	484
74	84	478
75	84	473
76	85	467
77	85	462
78	85	457
79	86	452
80	86	448
81	87	446
82	88	442
83	88	437
84	88	433
85	88	428
86	89	423
87	89	419
88	89	415
89	90	411
90	90	407
91	90	403
92	91	399
93	91	395
94	91	391
95	92	388
96	92	384
97	92	381
98	93	377
99	93	374
100	94	371
101	94	368
102	94	364
103	94	361
104	95	358
105	95	355
106	96	352
107	96	349
108	96	346
109	97	344
110	97	341
111	97	338
112	98	335
113	98	333
114	98	330
115	99	327
116	99	325
117	99	322
118	100	320
119	100	318
120	100	315
121	101	313
122	101	310
123	101	308
124	102	306
125	102	303
126	102	301
127	102	299
128	103	297
129	103	294
130	103	292
131	104	290
132	104	288
133	104	286
134	105	284
135	105	282
136	105	280
137	106	278
138	106	276
139	106	274
140	107	272
141	107	271
142	107	269
143	108	267
144	108	265
145	108	263
146	109	262
147	109	260
148	109	258
149	110	257
150	110	255
151	110	253
152	111	252
153	111	250
154	111	248
155	112	247
156	112	245
157	112	243
158	112	242
159	113	240
160	113	239
161	114	237
162	114	236
163	114	235
164	115	233
165	115	232
166	115	231
167	116	229
168	116	228
169	116	226
170	117	225
171	117	224
172	117	222
173	118	221
174	118	220
175	118	218
176	119	217
177	119	216
178	119	214
179	120	213
180	120	212
181	120	210
182	121	209
183	121	208
184	121	207
185	121	205
186	122	204
187	122	203
188	122	202
189	123	201
190	123	199
191	123	198
192	124	197
193	124	196
194	124	195
195	125	194
196	125	192
197	125	191
198	126	190
199	126	189
200	126	188
201	126	187
202	127	186
203	127	185
204	128	184
205	128	183
206	128	182
207	129	181
208	129	180
209	129	179
210	130	178
211	130	177
212	130	176
213	131	175
214	131	174
215	131	173
216	132	172
217	132	171
218	132	170
219	133	169
220	134	169
221	134	168
222	134	167
223	135	166
224	135	165
225	135	164
226	136	163
227	136	162
228	136	161
229	137	161
230	137	160
231	137	159
232	138	158
233	138	157
234	138	156
235	139	155
236	139	155
237	140	154
238	140	153
239	141	153
240	142	152
241	142	151
242	142	150
243	143	150
244	143	149
245	143	148
246	144	147
247	144	146
248	144	146
249	145	145
250	145	144
251	145	143
252	146	142
253	146	141
254	146	141
255	147	140
256	147	139
257	147	138
258	148	137
259	148	136
260	148	136
261	149	135
262	149	134
263	149	133
264	150	133
265	150	132
266	150	131
267	151	130
268	151	130
269	151	129
270	152	128
271	152	127
272	152	126
273	152	126
274	153	125
275	153	124
276	154	124
277	154	123
278	154	122
279	155	121
280	155	121
281	155	120
282	156	119
283	156	118
284	156	118
285	157	117
286	157	116
287	157	116
288	158	115
289	158	114
290	158	113
291	159	113
292	159	112
293	159	111
294	160	111
295	160	110
296	160	109
297	161	109
298	161	108
299	161	107
300	162	107
301	162	106
302	162	105
303	163	105
304	163	104
305	163	103
306	164	103
307	165	103
308	165	102
309	166	101
310	166	101
311	166	100
312	167	99
313	167	99
314	167	98
315	168	98
316	169	97
317	169	97
318	169	96
319	170	95
320	170	95
321	170	94
322	171	93
323	171	93
324	171	92
325	172	91
326	172	91
327	172	90
328	173	90
329	173	89
330	174	88
331	174	88
332	174	87
333	175	87
334	175	86
335	175	85
336	176	85
337	176	84
338	176	83
339	177	83
340	177	82
341	177	82
342	178	81
343	178	80
344	178	80
345	179	79
346	179	79
347	179	78
348	179	77
349	180	77
350	180	76
351	181	76
352	181	75
353	181	74
354	181	74
355	182	73
356	182	73
357	182	72
358	183	71
359	183	71
360	183	70
361	184	70
362	184	69
363	184	69
364	185	68
365	185	67
366	185	67
367	186	66
368	186	66
369	186	65
370	187	65
371	187	64
372	188	64
373	188	63
374	188	62
375	189	62
376	189	61
377	189	61
378	190	60
379	190	60
380	190	59
381	191	59
382	191	58
383	192	58
384	192	57
385	192	56
386	193	56
387	194	56
388	194	55
389	194	54
390	195	54
391	195	53
392	195	53
393	196	52
394	196	52
395	196	51
396	197	51
397	197	50
398	197	50
399	197	49
400	198	48
401	198	48
402	199	47
403	199	47
404	199	46
405	199	46
406	200	45
407	200	45
408	200	44
409	201	44
410	201	43
411	202	43
412	202	42
413	202	42
414	203	41
415	203	41
416	203	40
417	204	40
418	204	39
419	204	39
420	205	38
421	205	38
422	205	37
423	206	36
424	206	36
425	206	35
426	207	35
427	207	34
428	207	34
429	208	33
430	208	33
431	208	32
432	209	32
433	209	31
434	209	31
435	210	30
436	210	30
437	210	29
438	211	29
439	211	28
440	211	28
441	212	27
442	212	27
443	213	26
444	213	26
445	214	25
446	214	25
447	214	24
448	215	24
449	215	23
450	215	23
451	216	22
452	216	22
453	216	21
454	217	21
455	217	20
456	217	20
457	218	20
458	218	19
459	218	19
460	219	18
461	219	18
462	219	17
463	220	17
464	220	16
465	220	16
466	221	15
467	221	15
468	221	14
469	222	14
470	222	13
471	222	13
472	223	12
473	223	12
474	223	11
475	224	11
476	224	10
477	225	10
478	225	9
479	225	9
480	226	8
481	226	8
482	227	7
483	227	7
484	227	7
485	228	6
486	228	6
487	228	5
488	229	5
489	229	4
490	229	4
491	230	3
492	230	3
493	231	2
494	231	2
495	231	1
496	232	1
497	232	0
498	232	0
499	233	0
